Geo Point;Geo Shape;id_fontaines_a_boire;localisation;type;adresse;commune;quartier;territoire;statut
43.59181528049857, 1.426680217202559;"{""coordinates"": [[1.426680217202559, 43.59181528049857]], ""type"": ""MultiPoint""}";338;CIMETIERE RAPAS;BAYARD;61 CHEMIN DE LA NEBOUDE;Toulouse;15;SUD;
43.59102777241256, 1.4251901985669502;"{""coordinates"": [[1.42519019856695, 43.59102777241256]], ""type"": ""MultiPoint""}";337;CIMETIERE RAPAS;BAYARD;61 CHEMIN DE LA NEBOUDE;Toulouse;15;SUD;
43.60773469010091, 1.4608299307960455;"{""coordinates"": [[1.460829930796046, 43.60773469010091]], ""type"": ""MultiPoint""}";203;CIMETIERE TERRE CABADE;PRESTO;CIMETIERE DE TERRE CABADE;Toulouse;4;CENTRE;
43.60981083047765, 1.4639144377939555;"{""coordinates"": [[1.463914437793955, 43.60981083047765]], ""type"": ""MultiPoint""}";427;Cimetière terre cabade;PRESTO;CIMETIERE DE TERRE CABADE;Toulouse;4;CENTRE;
43.60798611334519, 1.4621440520091051;"{""coordinates"": [[1.462144052009105, 43.60798611334519]], ""type"": ""MultiPoint""}";198;CIMETIERE TERRE CABADE;BAYARD;CIMETIERE DE TERRE CABADE;Toulouse;4;CENTRE;
43.60837487680606, 1.4643469036073506;"{""coordinates"": [[1.464346903607351, 43.60837487680606]], ""type"": ""MultiPoint""}";421;Cimetière terre cabade;PRESTO;CIMETIERE DE TERRE CABADE;Toulouse;4;CENTRE;
43.60751205520307, 1.4654596308168382;"{""coordinates"": [[1.465459630816838, 43.60751205520307]], ""type"": ""MultiPoint""}";194;CIMETIERE TERRE CABADE;BAYARD;CIMETIERE DE TERRE CABADE;Toulouse;4;CENTRE;
43.58930230386884, 1.3846159417258939;"{""coordinates"": [[1.384615941725894, 43.58930230386884]], ""type"": ""MultiPoint""}";410;Cimetière lardenne;BAYARD;AVENUE PIERRE MOLETTE;Toulouse;18;OUEST;
43.58901971294405, 1.384254543773777;"{""coordinates"": [[1.384254543773777, 43.58901971294405]], ""type"": ""MultiPoint""}";411;Cimetière lardenne;BAYARD;AVENUE PIERRE MOLETTE;Toulouse;18;OUEST;
43.60862372864727, 1.4612889549897716;"{""coordinates"": [[1.461288954989772, 43.60862372864727]], ""type"": ""MultiPoint""}";423;Cimetière terre cabade;AUTRE;CIMETIERE DE TERRE CABADE;Toulouse;4;CENTRE;
43.590056580101745, 1.3847087190055944;"{""coordinates"": [[1.384708719005594, 43.590056580101745]], ""type"": ""MultiPoint""}";431;Cimetière lardenne;BAYARD;AVENUE PIERRE MOLETTE;Toulouse;18;OUEST;
43.607358858767476, 1.4619775033650382;"{""coordinates"": [[1.461977503365038, 43.607358858767476]], ""type"": ""MultiPoint""}";199;CIMETIERE TERRE CABADE;PRESTO;CIMETIERE DE TERRE CABADE;Toulouse;4;CENTRE;
43.60867551331406, 1.4632044415878438;"{""coordinates"": [[1.463204441587844, 43.60867551331406]], ""type"": ""MultiPoint""}";197;CIMETIERE TERRE CABADE;BAYARD;CIMETIERE DE TERRE CABADE;Toulouse;4;CENTRE;
43.60854610377938, 1.4413279843341162;"{""coordinates"": [[1.441327984334116, 43.60854610377938]], ""type"": ""MultiPoint""}";257;PARVI BASILIQUE ST ETIENNE;WATER CONNECT;PLACE ST SERNIN;Toulouse;1;CENTRE;Ouverte
43.577953776520424, 1.386201772597216;"{""coordinates"": [[1.386201772597216, 43.577953776520424]], ""type"": ""MultiPoint""}";435;Stade pradettes;BAYARD;RUE FERDINAND DE LESSEPS;Toulouse;18;OUEST;Ouverte
43.552795609091, 1.3945883120618603;"{""coordinates"": [[1.39458831206186, 43.552795609091]], ""type"": ""MultiPoint""}";111;JARDIN PARTAGE DE MONLONG;BAYARD;11 CHE DE LESTANG;Toulouse;14;SUD;Ouverte
43.621421132802624, 1.434125686280707;"{""coordinates"": [[1.434125686280707, 43.621421132802624]], ""type"": ""MultiPoint""}";21;JARDIN CLAUDE NOUGARO;BAYARD;RUE DU GENERAL BOURBAKI;Toulouse;8;NORD;Ouverte
43.612008755348135, 1.4188731017016147;"{""coordinates"": [[1.418873101701615, 43.612008755348135]], ""type"": ""MultiPoint""}";229;AIRE DE PIQUE NIQUE CYCLO;BAYARD;BD DE GENEVE;Toulouse;8;NORD;Ouverte
43.627128271315236, 1.470261569797284;"{""coordinates"": [[1.470261569797284, 43.627128271315236]], ""type"": ""MultiPoint""}";547;Stade Amouroux;BAYARD;;Toulouse;10;EST;Ouverte
